ra,dec,redshift,brightness,richness,total_N,gal_id,cluster_id
150.37506631,2.07582451,0.9485,-22.34,9.0,64.0,510792.0,1426.0
149.64385408,2.38272222,0.9485,-22.28,9.0,69.0,716015.0,1965.0
150.33064339,2.0326938,0.9486,-21.7,9.0,72.0,482408.0,534.0
149.63990382,2.34910454,0.9488,-22.12,18.0,59.0,692718.0,1082.0
149.51526025,2.4663577,0.9492,-22.26,9.0,75.0,769961.0,2148.0
150.41059221,2.07982573,0.9494,-22.48,8.0,60.0,513930.0,2691.0
149.74247273,2.18706882,0.9495,-21.57,8.0,70.0,583615.0,2383.0
150.11263185,2.14664148,0.9502,-22.83,10.0,80.0,558911.0,671.0
149.63775941,2.34386186,0.9503,-20.5,19.0,52.0,688600.0,2687.0
149.65319187,2.37777503,0.9507,-22.19,12.0,70.0,711891.0,2140.0
149.50671599,2.01222334,0.9512,-22.0,10.0,59.0,470254.0,1618.0
149.6454877,2.17497276,0.9516,-22.37,8.0,82.0,576479.0,523.0
150.31547385,2.03668648,0.9521,-21.83,8.0,80.0,485126.0,2137.0
150.4467149,2.07995491,0.9536,-22.24,10.0,73.0,513802.0,2149.0
149.79885853,1.68566456,0.9536,-22.84,13.0,50.0,265461.0,1330.0
150.42184630000003,2.0687055,0.9537,-22.48,10.0,64.0,507173.0,2132.0
149.61357869,2.12365779,0.9541,-23.33,9.0,74.0,543312.0,175.0
149.93788167,2.34473662,0.9542,-21.74,8.0,71.0,689794.0,1687.0
