ra,dec,redshift,brightness,LR,gal_id,cluster_id
150.20689818,2.05809541,0.8312,-20.82,29.91,499451.0,7.0
150.20540747,2.06335664,0.8309,-20.67,28.93,502513.0,7.0
150.25630504,2.05327066,0.8293,-21.49,29.34,496323.0,7.0
150.21844026,2.05774908,0.83,-23.79,30.12,498357.0,7.0
150.23355961,2.05937567,0.83,-22.45,29.6,501139.0,7.0
150.21418709,2.06649509,0.8294,-22.17,29.48,505531.0,7.0
150.18742348,2.04574931,0.8338,-21.36,29.14,491098.0,7.0
150.19946111,2.07525777,0.8323,-21.35,29.25,510492.0,7.0
150.19510183,2.08721308,0.834,-20.35,29.06,517979.0,7.0
150.24735086,2.02915815,0.8318,-22.06,29.44,480870.0,7.0
150.22711549,2.02155163,0.8363,-19.72,28.79,475293.0,7.0
150.28811425,2.06034679,0.8362,-20.52,28.78,500494.0,7.0
150.16199714,2.0699128,0.8386,-19.77,28.88,506149.0,7.0
150.25879129,2.0187275,0.8373,-21.46,29.19,475289.0,7.0
150.21477955,2.05559288,0.8389,-20.49,28.8,497621.0,7.0
150.24042017,2.05678573,0.838,-21.24,29.4,497845.0,7.0
150.20479332,2.09143664,0.8417,-19.65,28.49,520086.0,7.0
150.20817965,2.10165293,0.8405,-20.79,28.99,527384.0,7.0
150.20683601,2.13187585,0.8403,-21.83,29.47,546932.0,7.0
150.25820244,2.07861998,0.8412,-22.42,29.56,513262.0,7.0
150.24376083,2.0913781,0.8418,-19.53,28.5,519716.0,7.0
150.56765598,2.44909147,1.1301,-20.19,29.02,757754.0,8.0
150.56065838,2.49516257,1.1285,-20.25,28.92,788015.0,8.0
150.54992842,2.49774797,1.1287,-19.83,28.67,788939.0,8.0
150.5420576,2.50364907,1.1304,-20.49,29.0,792943.0,8.0
150.61273672,2.46241716,1.1313,-21.31,29.79,766417.0,8.0
150.63083499,2.49702263,1.1293,-19.66,28.51,788282.0,8.0
150.52453549,2.50588443,1.1287,-19.52,28.32,793966.0,8.0
150.55471883,2.53001057,1.1293,-20.43,28.79,810440.0,8.0
150.57192654,2.50931671,1.13,-20.61,29.11,796615.0,8.0
150.60982798,2.52450534,1.1307,-21.11,29.53,807341.0,8.0
150.5458102,2.43685575,1.134,-20.58,29.66,749585.0,8.0
150.50142734,2.48113932,1.1324,-20.49,29.12,778302.0,8.0
150.57926132,2.44843216,1.1325,-20.16,29.37,757025.0,8.0
150.5706143,2.45968143,1.1342,-19.89,28.72,764486.0,8.0
150.63305601,2.5020747,1.1343,-19.72,28.64,791625.0,8.0
150.5214582,2.52070129,1.1324,-21.31,29.61,805350.0,8.0
150.52581049,2.52195279,1.1344,-22.11,29.84,806061.0,8.0
150.55748746,2.52998004,1.1321,-20.43,29.0,810411.0,8.0
150.52317244,2.53112748,1.1338,-20.18,28.99,811300.0,8.0
150.55047584,2.55829533,1.1317,-19.68,28.74,829233.0,8.0
150.56384147,2.51149193,1.1346,-21.38,29.25,798808.0,8.0
150.59053472,2.51274961,1.1322,-21.38,29.73,799771.0,8.0
150.56712904,2.56063527,1.1317,-19.93,28.66,831181.0,8.0
150.56678733,2.42930718,1.1361,-21.19,29.09,745417.0,8.0
150.56263864,2.46384801,1.1362,-19.88,29.02,767304.0,8.0
150.56896535,2.48833764,1.137,-23.1,29.84,784418.0,8.0
150.56202689,2.48974013,1.137,-20.21,28.9,783845.0,8.0
150.55926683,2.49091391,1.1357,-19.63,28.79,784559.0,8.0
150.51918686,2.50416949,1.1374,-19.81,28.8,792919.0,8.0
150.57638563,2.42650769,1.135,-20.64,29.41,743009.0,8.0
150.57142607,2.43227379,1.1367,-20.94,29.27,746984.0,8.0
150.5737371,2.48067233,1.1376,-20.42,29.21,778199.0,8.0
150.61496304,2.48635279,1.1372,-20.97,29.22,781954.0,8.0
150.50901547,2.51196904,1.1363,-19.54,28.71,797828.0,8.0
150.51569646,2.52299439,1.1351,-20.01,28.92,805710.0,8.0
150.5331832,2.55271025,1.1358,-20.61,28.99,825876.0,8.0
150.59721332,2.51186592,1.1359,-19.69,28.84,797787.0,8.0
150.59805127,2.55787668,1.1356,-21.38,29.56,829363.0,8.0
150.56917409,2.44643145,1.1399,-23.35,29.95,757823.0,8.0
150.5971089,2.52686771,1.1397,-22.05,29.43,808594.0,8.0
150.55932323,2.54943102,1.1402,-21.25,29.56,824334.0,8.0
150.56589042,2.49644973,1.1427,-23.89,30.17,790959.0,8.0
150.57201059,2.43765347,1.1432,-20.44,29.07,750147.0,8.0
150.58102584,2.47749836,1.1426,-21.06,29.34,776363.0,8.0
150.60296376,2.49754244,1.1413,-21.91,29.39,789512.0,8.0
150.53754729,2.50459734,1.1427,-20.65,28.87,793376.0,8.0
150.5470179,2.53890308,1.1431,-21.3,29.85,816787.0,8.0
