ra,dec,redshift,brightness,richness,total_N,LR,gal_id,doppler_velocity,cluster_id
150.14635029,2.69213013,0.9455,-23.31,10,52,30.55,919377.0,174486.5763176635,1529
150.41163905,1.8519238,0.9458,-21.52,17,53,29.42,369137.0,174517.13975821203,901
149.96144554,2.34941556,0.9465,-23.19,8,55,29.88,694093.0,174588.4148058154,38
149.99025259,2.33668773,0.9473,-23.15,14,84,29.86,685395.0,174669.8040902608,304
150.70192759999998,2.4177172,0.9477,-21.4,9,51,29.46,737283.0,174710.47158992395,740
150.37506631,2.07582451,0.9485,-22.34,8,66,29.55,510792.0,174791.75235159698,634
149.64385408,2.38272222,0.9485,-22.28,8,56,29.91,716015.0,174791.75235159698,1311
150.33064339,2.0326938,0.9486,-21.7,9,65,29.48,482408.0,174801.90736491652,446
149.63990382,2.34910454,0.9488,-22.12,18,64,29.46,692718.0,174822.21400525887,912
149.51526025,2.4663577,0.9492,-22.26,9,65,29.91,769961.0,174862.81374490293,1845
149.94565491,2.36804801,0.9492,-22.58,9,78,30.03,705991.0,174862.81374490293,1432
149.74247273,2.18706882,0.9495,-21.57,8,64,29.59,583615.0,174893.25170588816,1991
149.75529759,2.27057977,0.9496,-22.36,10,54,30.26,640478.0,174903.39543772055,443
150.47415052,2.03975945,0.9504,-22.99,9,65,30.09,488946.0,174984.50472074715,725
149.65319187,2.37777503,0.9507,-22.19,13,76,29.85,711891.0,175014.9021163071,313
149.69792569,2.18359009,0.9511,-21.54,10,56,29.29,581443.0,175055.41621781696,728
149.6454877,2.17497276,0.9516,-22.37,8,71,29.56,576479.0,175106.03353064763,437
150.16539353,2.18328284,0.953,-21.07,8,63,29.25,581602.0,175247.61252278867,187
150.4467149,2.07995491,0.9536,-22.24,13,64,29.9,513802.0,175308.2218710984,1846
149.59241235,2.48296139,0.9539,-22.29,12,53,29.8,780720.0,175338.5114039051,770
149.61357869,2.12365779,0.9541,-23.33,11,64,30.25,543312.0,175358.69882056655,180
150.13550638,2.12110726,0.9546,-22.1,11,57,29.45,540131.0,175409.14775256297,89
149.64915735,2.3567306,0.955,-21.74,19,77,29.85,697585.0,175449.48673792652,15
149.97314119,2.33800111,0.9552,-23.36,13,82,29.96,686241.0,175469.64951376207,157
149.53508645,2.26356761,0.9552,-20.73,8,58,29.07,634872.0,175469.64951376207,1894
150.00436304,2.14784287,0.9558,-22.83,12,69,29.84,557625.0,175530.1109879782,917
150.35325198,1.84759803,0.9559,-22.09,11,53,29.77,366546.0,175540.18398578354,1278
150.11045994,2.13265609,0.9566,-21.19,8,50,29.68,546871.0,175610.6636730736,1443
150.12738374,2.21162713,0.9568,-21.76,8,58,29.6,600383.0,175630.7906711211,779
149.97927973,2.34041965,0.9569,-21.52,8,59,29.47,686767.0,175640.8524949669,438
149.64464454,2.19012157,0.957,-21.9,12,68,29.37,585556.0,175650.91320222267,316
149.62721741,2.21944616,0.9573,-22.7,10,88,29.79,605952.0,175681.08862591445,319
149.70095871,2.26755724,0.9574,-22.32,9,79,29.64,638492.0,175691.1448682746,723
149.78207884,2.22451592,0.9575,-22.03,8,74,29.72,609890.0,175701.1999947768,2209
150.02224631,2.19986102,0.9585,-21.99,24,103,29.87,592254.0,175801.68991980262,16
149.61761683,2.11578398,0.9586,-23.66,13,65,30.45,537719.0,175811.73278152314,44
149.44892312,2.5079742,0.9593,-23.7,11,51,30.08,798826.0,175882.0016268663,419
149.63850648,2.15282701,0.9597,-22.77,8,67,29.72,562024.0,175922.13076179306,950
149.62395082,2.40614867,0.9604,-21.76,8,68,29.74,729927.0,175992.31392240926,530
149.7803853,2.3517581,0.9606,-22.17,8,50,29.57,694921.0,176012.35624854508,2014
150.15689417,1.94027157,0.9611,-21.98,13,56,29.79,425332.0,176062.44262071094,172
149.72871586,2.18544643,0.9617,-22.15,13,51,30.18,583211.0,176122.50962387008,1116
149.6146318,2.04532504,0.9624,-22.32,8,55,29.55,490776.0,176192.53731043264,2166
149.9378436,2.28473948,0.9625,-22.01,10,68,29.7,648988.0,176202.53683023606,421
150.71080642,2.41178692,0.9627,-21.92,9,50,29.73,733732.0,176222.5325447321,246
149.55759779,2.26431623,0.9637,-22.42,8,70,29.57,635786.0,176322.44465277405,1428
149.49079657,1.9874288,0.9639,-22.27,10,59,30.12,454761.0,176342.4137896275,1040
150.05611745,2.27126945,0.964,-22.18,9,68,30.02,641245.0,176352.39669840338,1415
149.65079521,2.21077102,0.9646,-22.08,17,65,29.44,599854.0,176412.27092508535,906
150.68555619,2.12427649,0.9647,-22.17,9,65,30.17,542159.0,176422.2460932236,1423
149.77023835,2.31089101,0.965,-21.26,8,55,29.38,666293.0,176452.16496686533,1596
150.31595916,2.03385762,0.965,-22.45,11,53,29.99,483832.0,176452.16496686533,1450
149.64319713,2.44207924,0.965,-22.96,11,51,30.15,755632.0,176452.16496686533,1097
150.72236277,2.34202372,0.966,-22.08,9,59,29.7,688295.0,176551.82275623802,1214
150.39164842,2.72178663,0.9664,-21.19,10,57,29.74,935919.0,176591.6549702788,1410
149.68721842,2.20874503,0.9664,-22.56,9,90,30.16,599597.0,176591.6549702788,697
149.60329706,2.28086934,0.9665,-23.18,10,62,30.26,647607.0,176601.6102665164,929
149.50955242,2.26230084,0.9666,-22.3,9,55,29.53,635357.0,176611.56446013422,105
149.66511966,2.3477796000000004,0.967,-22.47,12,82,30.01,692069.0,176651.37021129864,914
149.61411305,2.2848704,0.9688,-22.12,8,50,29.96,649480.0,176830.27804932126,56
149.56677435,2.16228538,0.9698,-22.31,11,62,29.54,568019.0,176929.51733685896,1227
149.79859966,2.21374824,0.9699,-22.29,8,60,29.8,602928.0,176939.43522501114,1996
149.669803,1.90169778,0.9704,-22.36,12,60,29.71,401880.0,176989.00820292,264
150.28263738,2.54561164,0.9706,-23.28,9,50,30.0,823637.0,177008.8297141048,1591
149.48146525,2.00626635,0.9713,-23.58,20,71,30.03,468056.0,177078.17046448457,21
149.64794853,2.12347921,0.9716,-21.71,8,59,29.28,540852.0,177107.8714905237,1518
149.79222507,2.21324898,0.9723,-21.19,8,62,29.15,601185.0,177177.1355568104,2147
149.49101369,2.02277247,0.974,-22.77,12,58,29.73,476853.0,177345.12515625046,34
149.68367103,2.19100644,0.9741,-21.86,13,94,29.37,586726.0,177354.997064041,171
150.5428889,2.27407025,0.9748,-22.11,9,64,29.72,642516.0,177424.06985932495,1408
149.83212245,2.56953815,0.9748,-22.93,18,76,29.78,838905.0,177424.06985932495,894
150.06422105,2.17856304,0.9752,-21.28,9,79,29.79,578741.0,177463.5160298052,1972
149.65317946,2.32549567,0.9752,-22.71,14,92,29.7,677944.0,177463.5160298052,75
149.77965774,2.30467688,0.9756,-21.39,10,53,29.56,661936.0,177502.94475844555,1133
150.29564681,2.0349543000000003,0.9761,-22.96,8,60,29.79,484128.0,177552.20615558603,122
150.23349194,1.7398615000000002,0.9761,-22.76,15,52,29.71,299532.0,177552.20615558603,1098
150.35044119999998,2.07020273,0.9775,-22.16,9,68,29.88,507226.0,177689.99331013224,821
150.41282493,1.67770763,0.9781,-23.62,9,53,30.07,261495.0,177748.97971497034,1858
149.58307659999997,2.12750527,0.9784,-22.5,14,102,30.01,544038.0,177778.45825474628,1873
149.6747938,2.13050586,0.9785,-21.38,10,51,29.77,545501.0,177788.28226337692,1245
149.6170946,2.11952904,0.9788,-22.64,8,52,29.67,539841.0,177817.7477773768,254
149.62114097,2.39229099,0.9797,-20.85,8,89,28.93,721086.0,177906.08574561728,2162
149.71561474,1.79553199,0.9801,-22.25,10,63,29.8,334594.0,177945.3188823595,1595
149.59919194,2.12571606,0.9809,-20.66,13,60,28.87,541652.0,178023.733174365,189
