ra,dec,redshift,brightness,richness,total_N,LR,gal_id,doppler_velocity,cluster_id
150.0385924,2.55942002,0.8758,-22.67,11,63.0,29.68,831405.0,167100.58136115546,1658.0
149.85722203,2.7490172000000004,0.8768,-22.88,9,52.0,29.76,954305.0,167210.68704224835,2346.0
149.92928346,2.40897988,0.8778,-23.52,11,50.0,30.01,733907.0,167320.66868327284,1351.0
150.20990585,2.57086674,0.8791,-22.25,11,82.0,29.61,838813.0,167463.45964433067,1976.0
149.89092942,2.669207,0.8794,-23.61,10,61.0,30.06,903460.0,167496.38171173277,617.0
150.45032121,2.14266703,0.8799,-22.98,12,63.0,29.9,555599.0,167551.22710276884,1122.0
149.90555925,2.71828501,0.88,-23.45,12,63.0,29.97,934979.0,167562.19247424134,1189.0
149.92676654,2.6475097,0.88,-23.14,10,52.0,29.86,888882.0,167562.19247424134,30.0
149.91381485,2.38189144,0.8802,-23.24,11,60.0,29.89,715296.0,167584.11951174942,1735.0
149.90735415,2.70844904,0.8804,-22.95,14,74.0,29.79,928939.0,167606.04160975598,1113.0
149.66034901,2.25897506,0.8813,-22.18,10,55.0,29.63,632595.0,167704.6299592212,1152.0
150.06263049,2.56961754,0.8817,-23.06,14,105.0,29.83,839016.0,167748.41493598922,648.0
149.91900722,2.64299344,0.8818,-22.2,14,69.0,29.49,885990.0,167759.35809866266,1408.0
149.91907801,2.70361626,0.8828,-22.08,15,54.0,30.14,925229.0,167868.7219764789,1167.0
149.99317117,2.64567084,0.8842,-21.05,9,50.0,29.21,886885.0,168021.62468955936,2448.0
149.95962021,2.66601844,0.8848,-22.41,15,58.0,29.95,900081.0,168087.08069352512,1510.0
150.03541166,2.56198641,0.8853,-22.2,8,54.0,29.59,832907.0,168141.59360744435,444.0
149.92211713,2.60803508,0.8858,-23.69,8,83.0,30.21,864423.0,168196.07585552707,1865.0
150.20540812,2.5590297000000004,0.8858,-22.44,10,73.0,29.89,831666.0,168196.07585552707,274.0
149.85380787,2.74382096,0.8861,-22.54,8,65.0,29.91,950656.0,168228.7504931487,2576.0
150.07750695,2.39457781,0.8865,-22.75,11,58.0,30.01,724736.0,168272.29952255738,446.0
149.98716234,2.65393306,0.8866,-22.69,8,59.0,29.87,892844.0,168283.18371775228,2103.0
149.91578217,2.66231579,0.8875,-23.25,10,88.0,30.3,899129.0,168381.08638943871,574.0
150.55110248,2.21457459,0.8878,-21.91,9,52.0,29.65,602585.0,168413.6985918412,2330.0
150.4472603,2.1066282000000003,0.8897,-23.14,9,56.0,29.95,532240.0,168619.98719306823,2784.0
149.90543167,2.67564014,0.8897,-21.85,9,88.0,29.6,906061.0,168619.98719306823,413.0
150.05813188,2.56300632,0.8897,-22.18,8,53.0,29.77,833763.0,168619.98719306823,258.0
149.95344982,2.66032029,0.8898,-23.32,9,53.0,29.9,898126.0,168630.83228258844,1221.0
149.96458274,2.65416322,0.89,-22.94,13,80.0,30.39,893634.0,168652.51880356946,136.0
150.09939185,2.51620616,0.8901,-22.36,15,94.0,29.95,802778.0,168663.3602353505,36.0
150.4451785,1.84540541,0.8905,-22.81,20,62.0,29.72,366169.0,168706.7137748128,1077.0
150.21689887,2.2758863,0.8906,-22.68,9,52.0,29.79,644531.0,168717.54911356306,1632.0
149.79258779,2.22739091,0.8907,-22.76,11,53.0,29.72,612481.0,168728.38323418712,406.0
150.15753578,2.19279173,0.8914,-21.4,9,59.0,29.36,587344.0,168804.18798445602,2643.0
150.44971328,2.15923202,0.8925,-22.5,10,66.0,29.61,566378.0,168923.18928808576,1565.0
149.92996698,2.63321512,0.8928,-22.76,16,82.0,29.71,880648.0,168955.6186632315,1074.0
149.95189423,2.65215829,0.8928,-22.2,9,113.0,29.88,892090.0,168955.6186632315,194.0
149.86310952,2.54471014,0.8937,-22.85,10,58.0,30.05,822300.0,169052.8412168332,1633.0
150.08493834,2.53282842,0.8942,-22.66,20,85.0,29.68,814571.0,169106.8112779614,1069.0
150.19478759999998,2.31182781,0.8952,-21.87,10,60.0,30.15,667662.0,169214.6604915184,417.0
150.07210961,2.53886381,0.8956,-21.83,15,93.0,29.34,818074.0,169257.76626590843,63.0
149.68354616,2.27059157,0.8973,-22.54,8,68.0,30.35,640821.0,169440.74991735877,1458.0
149.92814814,2.63202478,0.8974,-22.18,9,88.0,29.67,878944.0,169451.50278684404,13.0
150.07711443,2.54894154,0.8991,-23.09,15,98.0,29.84,826044.0,169634.1169809047,121.0
150.21049037,2.54837354,0.8992,-23.02,8,62.0,29.8,825376.0,169644.84814327673,1443.0
149.96307538,2.61311548,0.8993,-22.63,12,65.0,29.78,865973.0,169655.57810120177,2108.0
150.32477573,2.30580183,0.8998,-23.31,11,50.0,30.35,664292.0,169709.20982965734,1631.0
149.51913725,1.96486393,0.9,-23.16,10,65.0,30.18,441796.0,169730.65409544468,1472.0
150.42003156,2.51410005,0.9001,-22.46,8,66.0,29.6,801102.0,169741.37442348592,1103.0
150.17676148,2.58088091,0.9005,-22.22,9,61.0,29.49,845783.0,169784.24370698706,2071.0
150.26553886,2.07830738,0.9009999999999999,-21.67,8,58.0,29.42,512448.0,169837.803258714,2609.0
150.15810283,2.40461949,0.9021,-22.69,13,72.0,29.64,730669.0,169955.5285591749,119.0
150.16191446,2.60126126,0.9034,-22.86,15,50.0,29.75,859951.0,170094.47129651526,1121.0
150.18650598,2.59915868,0.9039,-22.29,11,55.0,29.52,857714.0,170147.85688998553,1116.0
149.96377376,2.42281049,0.905,-22.32,8,52.0,29.75,741636.0,170265.19988409002,2033.0
150.28914872,2.21545632,0.905,-22.6,10,62.0,30.15,603680.0,170265.19988409002,1484.0
150.13444113,2.55843671,0.9063,-22.24,8,102.0,29.5,831326.0,170403.69151621766,752.0
150.21565489,2.39564389,0.9073,-22.52,21,90.0,29.61,724007.0,170510.0862968834,1059.0
150.09869127,2.54065043,0.9076,-22.69,17,100.0,30.2,819831.0,170541.98148573868,451.0
150.19664254,2.59047998,0.9077,-21.75,12,52.0,29.96,851533.0,170552.6108326799,1550.0
150.53011835,2.01109767,0.9079999999999999,-22.25,8,50.0,29.89,470075.0,170584.4917276617,2132.0
150.15919755,2.60534789,0.9084,-22.66,15,65.0,29.67,862498.0,170626.98291984384,1170.0
149.66113428,2.25696369,0.9089,-21.74,11,50.0,30.11,631634.0,170680.07013661222,1666.0
150.05583995,2.57333011,0.9092,-22.86,8,53.0,29.75,841676.0,170711.90819499316,1299.0
150.16672815,2.52685261,0.9094,-22.02,9,79.0,30.11,809381.0,170733.12762331605,1524.0
150.53701831,2.67023796,0.9096,-23.47,12,51.0,29.98,903454.0,170754.34229795093,1398.0
149.92385758,2.64304218,0.9096,-22.96,17,86.0,29.78,886620.0,170754.34229795093,1081.0
149.71462797,2.19097158,0.9096,-23.47,9,57.0,30.0,587669.0,170754.34229795093,2373.0
150.19916519999998,2.32483423,0.9109999999999999,-22.67,9,68.0,29.67,678323.0,170902.71202194062,2595.0
150.46724398,2.55342464,0.9118,-23.08,8,59.0,29.85,828240.0,170987.39033228686,2772.0
150.10200609,2.52725893,0.9129999999999999,-21.96,8,58.0,29.4,809469.0,171114.26566075144,279.0
150.16789925,2.52572986,0.9133,-21.72,11,73.0,29.57,809229.0,171145.9578689869,703.0
150.49979782,2.44367141,0.914,-22.28,8,64.0,29.79,755383.0,171219.86497980612,2130.0
149.52618695,2.2905829,0.9172,-22.15,11,50.0,29.47,653375.0,171556.98975390257,1682.0
150.04831825,2.21777788,0.9175,-22.68,18,80.0,29.69,604903.0,171588.53336660296,109.0
150.22082616,2.18980785,0.9178,-21.57,11,69.0,29.64,586522.0,171620.0663966606,2621.0
149.67515405,2.25768681,0.9178,-23.31,10,53.0,30.25,632848.0,171620.0663966606,49.0
150.20303465,2.47621728,0.9179999999999999,-22.48,8,65.0,29.87,776468.0,171641.0825395112,1967.0
150.04139631,2.28194682,0.9181,-22.63,14,53.0,29.78,648141.0,171651.5888482431,405.0
150.41224364,2.73737227,0.9184,-23.06,10,59.0,30.14,946877.0,171683.10072551644,1693.0
150.20746841,2.28188455,0.9194,-22.81,8,54.0,29.72,647381.0,171788.06399987315,1265.0
150.26111222,2.03134082,0.9195,-22.77,9,69.0,30.01,482409.0,171798.55387370978,964.0
150.26444444,1.90015336,0.9195,-22.26,8,61.0,29.8,400693.0,171798.55387370978,1747.0
150.20450185,2.05836173,0.9199,-22.69,9,82.0,30.09,500250.0,171840.50164294094,1903.0
150.15442493,2.39123733,0.92,-23.33,14,54.0,30.32,719153.0,171850.98565448957,1231.0
150.28316336,2.09258971,0.9213,-23.02,11,75.0,29.82,522091.0,171987.17120898672,329.0
150.39850614,1.66652386,0.9222,-22.25,8,54.0,29.51,253285.0,172081.33766592792,2145.0
149.98925531,2.3391,0.9224,-22.36,9,82.0,29.57,686097.0,172102.25068653873,767.0
149.97842859999997,2.31534392,0.9232,-22.24,29,106.0,29.51,669509.0,172185.856048903,3.0
150.08742129,2.18599855,0.9234,-20.72,16,64.0,29.17,582767.0,172206.74571560664,1876.0
150.25521411,1.7145373,0.9237,-22.25,8,52.0,29.53,283550.0,172238.07146522653,1904.0
150.25000802,1.95753072,0.924,-22.23,8,56.0,29.52,437081.0,172269.38671799932,2317.0
150.28724242,2.03383364,0.9248,-22.47,11,67.0,29.7,483394.0,172352.8427722373,770.0
150.27323655,1.83274249,0.9255,-21.81,10,54.0,29.76,357623.0,172425.80567377148,2638.0
150.09405357,2.19899872,0.9264,-23.2,14,127.0,29.89,594198.0,172519.53134936022,1091.0
